DropId,DropType,Weight,ItemId,ItemNumMin,ItemNumMax,WorldAdd
1,1,10000,1000009,1,1,0
2,1,10000,1000010,1,1,0
3,1,10000,1000002,50000,50000,2000
3,1,5000,1000003,50,50,0
3,2,10000,5,1,1,0
4,1,10000,1000002,20000,30000,2000
4,1,5000,1000003,40,40,0
4,2,10000,5,1,1,0
5,1,10000,7000001,1,1,0
5,1,5000,7000002,1,1,0
5,1,5000,7000003,1,1,0
6,1,10000,1000014,1,1,0
7,2,10000,8,1,1,0
7,2,5000,8,1,1,0
8,3,2000,7000001,1,1,0
8,3,2000,7000002,1,1,0
8,3,2000,7000003,1,1,0
8,3,2000,7000004,1,1,0
8,3,2000,7000005,1,1,0
