RoleId,ItemName,Star,Stuff,StuffNum,StuffItem,StuffItemNum,MaxStuffItem,MaxStuffItemNum,Type
2000001,旅行者(妹妹),5,5000001,1,1000007,10,1000007,25,0
2000002,旅行者(哥哥),5,5000002,1,1000007,10,1000007,25,0
2000003,琴,5,5000003,1,1000007,10,1000007,25,0
2000004,迪卢克,5,5000004,1,1000007,10,1000007,25,1
2000005,温迪,5,5000005,1,1000007,10,1000007,25,0
2000006,可莉,5,5000006,1,1000007,10,1000007,25,0
2000007,魈,5,5000007,1,1000007,10,1000007,25,0
2000008,莫娜,5,5000008,1,1000007,10,1000007,25,0
2000009,刻晴,5,5000009,1,1000007,10,1000007,25,0
2000010,七七,5,5000010,1,1000007,10,1000007,25,0
2000011,钟离,5,5000011,1,1000007,10,1000007,25,0
2000012,达达里亚,5,5000012,1,1000007,10,1000007,25,0
2000013,阿贝多,5,5000013,1,1000007,10,1000007,25,0
2000014,甘雨,5,5000014,1,1000007,10,1000007,25,0
2000015,神里绫华,5,5000015,1,1000007,10,1000007,25,0
2000016,胡桃,5,5000016,1,1000007,10,1000007,25,0
2000017,雷电将军,5,5000017,1,1000007,10,1000007,25,0
2000018,优菈,5,5000018,1,1000007,10,1000007,25,1
2000019,霄宫,5,5000019,1,1000007,10,1000007,25,0
2000020,枫原万叶,5,5000020,1,1000007,10,1000007,25,0
2000021,珊瑚宫心海,5,5000021,1,1000007,10,1000007,25,0
2000022,埃洛伊,5,5000022,1,1000007,10,1000007,25,0
2000023,北斗,4,5000023,1,1000007,2,1000007,10,1
2000024,安柏,4,5000024,1,1000007,2,1000007,10,0
2000025,丽莎,4,5000025,1,1000007,2,1000007,10,0
2000026,凯亚,4,5000026,1,1000007,2,1000007,10,0
2000027,芭芭拉,4,5000027,1,1000007,2,1000007,10,0
2000028,雷泽,4,5000028,1,1000007,2,1000007,10,1
2000029,行秋,4,5000029,1,1000007,2,1000007,10,0
2000030,菲谢尔,4,5000030,1,1000007,2,1000007,10,0
2000031,诺艾尔,4,5000031,1,1000007,2,1000007,10,1
2000032,班尼特,4,5000032,1,1000007,2,1000007,10,0
2000033,重云,4,5000033,1,1000007,2,1000007,10,1
2000034,香菱,4,5000034,1,1000007,2,1000007,10,0
2000035,凝光,4,5000035,1,1000007,2,1000007,10,0
2000036,砂糖,4,5000036,1,1000007,2,1000007,10,0
2000037,迪奥娜,4,5000037,1,1000007,2,1000007,10,0
2000038,辛焱,4,5000038,1,1000007,2,1000007,10,1
2000039,罗莎莉亚,4,5000039,1,1000007,2,1000007,10,0
2000040,烟绯,4,5000040,1,1000007,2,1000007,10,0
2000041,早柚,4,5000041,1,1000007,2,1000007,10,0
2000042,九条裟罗,4,5000042,1,1000007,2,1000007,10,0
2000043,托马,4,5000043,1,1000007,2,1000007,10,0
2000044,荒泷一斗,5,5000044,1,1000007,10,1000007,25,1
2000045,五郎,4,5000045,1,1000007,2,1000007,10,0
2000046,申鹤,5,5000046,1,1000007,10,1000007,25,0
2000047,云堇,4,5000047,1,1000007,2,1000007,10,0
2000048,八重神子,5,5000048,1,1000007,10,1000007,25,0
